"Date","Price","Open","High","Low","Change %"
"Nov 29, 2019","6.3315","6.3297","6.3506","6.3045","-0.13%"
"Nov 28, 2019","6.3396","6.3575","6.3746","6.3347","-0.24%"
"Nov 27, 2019","6.3551","6.3474","6.3708","6.3241","0.12%"
"Nov 26, 2019","6.3475","6.3158","6.3574","6.3087","0.37%"
"Nov 25, 2019","6.3239","6.3049","6.3422","6.2873","0.41%"
"Nov 22, 2019","6.2983","6.2954","6.3299","6.2847","-0.01%"
"Nov 21, 2019","6.2992","6.3084","6.3311","6.2958","-0.20%"
"Nov 20, 2019","6.3116","6.3171","6.3376","6.2850","-0.04%"
"Nov 19, 2019","6.3139","6.3436","6.3600","6.3034","-0.60%"
"Nov 18, 2019","6.3519","6.3532","6.3678","6.3226","0.03%"
"Nov 15, 2019","6.3498","6.3334","6.3605","6.3235","0.22%"
"Nov 14, 2019","6.3356","6.3200","6.3672","6.3131","0.27%"
"Nov 13, 2019","6.3183","6.3567","6.3681","6.3025","-0.66%"
"Nov 12, 2019","6.3605","6.3652","6.3793","6.3414","-0.14%"
"Nov 11, 2019","6.3697","6.3606","6.3956","6.3496","0.23%"
"Nov 08, 2019","6.3551","6.3555","6.3700","6.3229","-0.02%"
"Nov 07, 2019","6.3562","6.3643","6.3826","6.3341","-0.12%"
"Nov 06, 2019","6.3636","6.3728","6.4009","6.3592","-0.12%"
"Nov 05, 2019","6.3715","6.3891","6.4025","6.3575","-0.23%"
"Nov 04, 2019","6.3861","6.3690","6.3975","6.3332","0.11%"
"Nov 01, 2019","6.3791","6.3846","6.4177","6.3688","0.13%"
"Oct 31, 2019","6.3711","6.3643","6.3951","6.3567","0.21%"
"Oct 30, 2019","6.3578","6.3720","6.4158","6.3350","-0.27%"
"Oct 29, 2019","6.3753","6.3639","6.3933","6.3373","0.22%"
"Oct 28, 2019","6.3616","6.4020","6.4060","6.3391","-0.58%"
"Oct 25, 2019","6.3985","6.3993","6.4334","6.3778","-0.05%"
"Oct 24, 2019","6.4014","6.3826","6.4318","6.3701","0.28%"
"Oct 23, 2019","6.3835","6.4626","6.4688","6.3665","-1.21%"
"Oct 22, 2019","6.4619","6.5316","6.5396","6.4364","-1.06%"
"Oct 21, 2019","6.5312","6.4563","6.5434","6.4469","0.94%"
"Oct 18, 2019","6.4702","6.4863","6.4897","6.3868","-0.23%"
"Oct 17, 2019","6.4852","6.5187","6.6001","6.4672","-0.50%"
"Oct 16, 2019","6.5181","6.5239","6.5491","6.4805","-0.15%"
"Oct 15, 2019","6.5277","6.5461","6.5531","6.4573","-0.14%"
"Oct 14, 2019","6.5370","6.4980","6.5488","6.4919","0.59%"
"Oct 11, 2019","6.4985","6.4208","6.5159","6.3971","1.17%"
"Oct 10, 2019","6.4236","6.4426","6.5127","6.4038","-0.28%"
"Oct 09, 2019","6.4414","6.3853","6.4544","6.3726","0.83%"
"Oct 08, 2019","6.3885","6.4046","6.4301","6.3499","-0.17%"
"Oct 07, 2019","6.3991","6.2519","6.4145","6.2496","2.33%"
"Oct 04, 2019","6.2533","6.2425","6.2681","6.2193","0.14%"
"Oct 03, 2019","6.2447","6.2462","6.2740","6.1993","-0.07%"
"Oct 02, 2019","6.2488","6.2634","6.2892","6.2347","-0.12%"
"Oct 01, 2019","6.2565","6.1578","6.2658","6.1418","1.61%"
"Sep 30, 2019","6.1573","6.2037","6.2101","6.1364","-0.74%"
"Sep 27, 2019","6.2032","6.1837","6.2213","6.1654","0.25%"
"Sep 26, 2019","6.1879","6.2062","6.2424","6.1681","-0.28%"
"Sep 25, 2019","6.2054","6.2801","6.2850","6.1997","-1.16%"
"Sep 24, 2019","6.2785","6.2834","6.2916","6.2252","-0.11%"
"Sep 23, 2019","6.2851","6.3291","6.3323","6.2663","-0.69%"
"Sep 20, 2019","6.3286","6.3099","6.3327","6.2640","0.23%"
"Sep 19, 2019","6.3139","6.2657","6.3281","6.2530","0.84%"
"Sep 18, 2019","6.2615","6.3122","6.3218","6.2481","-0.82%"
